POOL_NAME,PLATFORM,COUNT(TX_HASH)
MEMELORD-WETH,uniswap-v2,48
CCDAO-SHIB 10000 200 UNI-V3 LP,uniswap-v3,15
XEN-XDOGE 10000 200 UNI-V3 LP,uniswap-v3,56
salad-WETH,uniswap-v2,8
ETH-XEN 100 1  UNI-V4 LP,uniswap-v4,96
CAPPLE-WETH,uniswap-v2,4
UNI-DAI,sushiswap,62
WETH-TIDE,uniswap-v2,4
MASK-WETH,sushiswap,26
VRN-WETH,sushiswap,135
WETH-0xec5...6d10,uniswap-v2,4
G-USDT,hashflow-v3,24
FALCON-WETH,uniswap-v2,38
META-WETH,sushiswap,8
WETH-NOON,uniswap-v2,8
WETH-CRAB,uniswap-v2,191
NDSA-WETH,uniswap-v2,18
WETH-LuckyBaby,uniswap-v2,33
GUMMIES-WETH,uniswap-v2,1
BREED-WETH,uniswap-v2,19
🦅-WETH,uniswap-v2,428
USDC-MLN 10000 200  UNI-V4 LP,uniswap-v4,280
kSEED-WETH,uniswap-v2,12
0x73e...a0ae-WETH,uniswap-v2,57
0x417...ac1b-WETH,uniswap-v2,318
0x58e...899d-WETH,uniswap-v2,18
0x23b...9739-WETH,uniswap-v2,106
UNI-PINT,uniswap-v2,32
BTS-USDC 500 10 PCS-V3 LP,pancakeswap-v3,17
HKBY-WETH,uniswap-v2,5
0xae6...cf75-WETH,uniswap-v2,4
WBTC-liquidBeraBTC 3000 60  UNI-V4 LP,uniswap-v4,39
USDC-CROWN,uniswap-v2,3
HarryPotterObamaSonicInu69-WETH,uniswap-v2,1
JEFF2.0-WETH,uniswap-v2,2
WETH-tupelothedog,uniswap-v2,8
COINDEX-WETH,uniswap-v2,85
WETH-COBALT,uniswap-v2,24
$CATSZN-WETH,uniswap-v2,6
OFFICE-WETH,uniswap-v2,206
ETH-NHO 10000 200  UNI-V4 LP,uniswap-v4,8
BEARDY-NOTHING 3000 60 UNI-V3 LP,uniswap-v3,8
TrumpBucks-USDC 10000 200  UNI-V4 LP,uniswap-v4,208
WETH-Ethard,uniswap-v2,46
STEVE-WETH 10000 200 UNI-V3 LP,uniswap-v3,32
ETH-BIP177 10000 200  UNI-V4 LP,uniswap-v4,88
LTD-KNINE,uniswap-v2,2
WETH-METT,uniswap-v2,194
fpBAYC-WETH 10000 200 UNI-V3 LP,uniswap-v3,38
GROBBA-WETH,uniswap-v2,160
CIEL-WETH,uniswap-v2,4
WETH-RASTOPYRY,uniswap-v2,144
$WAT-WETH,uniswap-v2,1066
USDT-FLIXX,uniswap-v2,8
0x990...7532-WETH,uniswap-v2,7
OM2.0-WETH,uniswap-v2,34
THRONGLET-WETH,uniswap-v2,3
GYOKUTO-WETH,uniswap-v2,15
BAR-WETH 10000 200 UNI-V3 LP,uniswap-v3,36
BLOBO-WETH,uniswap-v2,8
AFB-WETH,uniswap-v2,17
REVOLUTION-DAI,shibaswap,4
kamala-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
PPLR-USDC 10000 200 UNI-V3 LP,uniswap-v3,24
WETH-IronSysCore,uniswap-v2,45
ELONIUM-WETH,uniswap-v2,11
WETH-Bee,uniswap-v2,5
DOGEY-WETH,uniswap-v2,7
0x3c5...b19f-USDC,uniswap-v2,16
JT-USDT,uniswap-v2,2
WETH-USDOGE,uniswap-v2,477
CMC-WETH 10000 200 UNI-V3 LP,uniswap-v3,9
WETH-MUKA 3000 60 UNI-V3 LP,uniswap-v3,8
WETH-VITALIKIUS,uniswap-v2,310
BLAP-WETH,uniswap-v2,156
TWIF-TrumpBucks,uniswap-v2,7
DPGAL-WETH,uniswap-v2,33
ICELAND-WOLF 3000 60 UNI-V3 LP,uniswap-v3,2
LILITH-WETH,uniswap-v2,12
WETH-FUG,uniswap-v2,39
WETH-MAG,uniswap-v2,26
AUTU-WETH,uniswap-v2,9
ETH-SWFTC 10000 200  UNI-V4 LP,uniswap-v4,224
ETH-DUSK 100 1  UNI-V4 LP,uniswap-v4,45
ETH-Minidoge 10000 200  UNI-V4 LP,uniswap-v4,504
DRAGONX-TITANX 10000 200  UNI-V4 LP,uniswap-v4,229
CLONEX-WETH 10000 200 UNI-V3 LP,uniswap-v3,21
USDC-CW,uniswap-v2,6
BAKA-WETH,uniswap-v2,145
WETH-EvoCoin,uniswap-v2,6
GBTC6900-TrumpBucks 10000 200  UNI-V4 LP,uniswap-v4,53
WETH-0xdea...a662,uniswap-v2,6
MAVIA-WETH 3000 60 UNI-V3 LP,uniswap-v3,24115
0xb6a...5a75-WETH,uniswap-v2,21682
SNSY-WETH,uniswap-v2,10882
DOJ-WETH,uniswap-v2,967
BMP-WETH 10000 200 UNI-V3 LP,uniswap-v3,32633
BONE-WETH,uniswap-v2,16428
DEVVE-WETH 10000 200 UNI-V3 LP,uniswap-v3,927
MATIC-WETH 3000 60 UNI-V3 LP,uniswap-v3,16726
LON-WETH,uniswap-v2,6331
UNI-WETH,sushiswap,4638
Daram-WETH 10000 200 UNI-V3 LP,uniswap-v3,1556
GROKAPP-WETH,uniswap-v2,2260
FTW-WETH 10000 200 UNI-V3 LP,uniswap-v3,8724
DONALD-WETH,uniswap-v2,437
AIOZ-WETH 10000 200 UNI-V3 LP,uniswap-v3,15251
M87-WETH,uniswap-v2,28408
WETH-BUBSY,uniswap-v2,2899
WETH-ZCX,uniswap-v2,9848
LDO-WETH 10000 200 UNI-V3 LP,uniswap-v3,2366
100x-WETH,uniswap-v2,1111
WETH-RIO,uniswap-v2,6215
WBTC-WETH,kyberswap-v1,1825
WETH-swETH 500 10 UNI-V3 LP,uniswap-v3,10984
WETH-GALA,dodo-v2,280
EPEP-WETH,uniswap-v2,429
YFII-WETH,uniswap-v2,4989
DOGE-TOM3 3000 60 UNI-V3 LP,uniswap-v3,110
$HACHI-WETH,uniswap-v2,44
WETH-KEL 3000 60 UNI-V3 LP,uniswap-v3,807
WETH-MCO2,uniswap-v2,931
NFAi-n,uniswap-v2,262
crvFRAX-cvxCRV,curve,3381
AAVE-USDT,uniswap-v2,42
GLM-USDT 10000 200 UNI-V3 LP,uniswap-v3,738
GEEKS-WETH,uniswap-v2,9
WETH-C3,uniswap-v2,88
IZZY-WETH,uniswap-v2,12757
AVT-WETH 3000 60 UNI-V3 LP,uniswap-v3,3119
0xa7b...d610-WETH,uniswap-v2,579
EL-USDT,sushiswap,1124
TRUMPINATOR-WETH,uniswap-v2,72
BITSHIT-WETH 100 1 UNI-V3 LP,uniswap-v3,52
ADRIAN-WETH,uniswap-v2,2938
TRIAS-WETH 3000 60 UNI-V3 LP,uniswap-v3,117
BEL-KABOSU,uniswap-v2,171
KSTND-WETH 10000 200 UNI-V3 LP,uniswap-v3,26
@DOGE-WETH,uniswap-v2,193
WETH-hope 10000 200 UNI-V3 LP,uniswap-v3,844
USDC-0xBTC 10000 200 UNI-V3 LP,uniswap-v3,58
250-WETH,uniswap-v2,819
dasdasd-WETH 500 10 UNI-V3 LP,uniswap-v3,3
ELE-WETH,uniswap-v2,12
GRAIN-WETH 10000 200 UNI-V3 LP,uniswap-v3,258
USDT-7UT 3000 60 UNI-V3 LP,uniswap-v3,2
VDZ-WETH,uniswap-v2,82
KABOSU-ZUZALU,uniswap-v2,54
DZAR-USDC 500 10 UNI-V3 LP,uniswap-v3,136
BUSD-USDC 100 1 UNI-V3 LP,uniswap-v3,102
WETH-RATO 10000 200 UNI-V3 LP,uniswap-v3,36143
WETH-OCT,uniswap-v2,850
0xbeb...d366-WETH,uniswap-v2,6
HUB-WETH,uniswap-v2,166
MONKPE-WETH,uniswap-v2,24
0x720...26dc-WETH,uniswap-v2,210
CHAT-WETH,uniswap-v2,5367
WETH-cbBTC 3000 60 UNI-V3 LP,uniswap-v3,22515
WETH-GRT 3000 60 UNI-V3 LP,uniswap-v3,11882
WETH-LAKE 3000 60 UNI-V3 LP,uniswap-v3,9926
Balancer USDC-DAI-USDT Stable Po,balancer,15402
FTM-DAI 10000 200 UNI-V3 LP,uniswap-v3,200
DOLA-WETH,uniswap-v2,6030
TURT-WETH 10000 200 UNI-V3 LP,uniswap-v3,1327
SOLVE-WETH,uniswap-v2,2453
Balancer agETH / rsETH,balancer,1813
SATS-WETH,uniswap-v2,188
DOGE20-WETH 3000 60 UNI-V3 LP,uniswap-v3,3000
SolvBTC-SolvBTC.BBN 100 1 UNI-V3 LP,uniswap-v3,2205
CVX-WETH 10000 200 UNI-V3 LP,uniswap-v3,3732
SHIH-WETH,uniswap-v2,432
WETH-XShop,uniswap-v2,283
LFDOG-WETH,uniswap-v2,1964
MASK-USDC,uniswap-v2,13232
WETH-ACH,uniswap-v2,921
WETH-SUPER,sushiswap,1966
CATE-WETH,uniswap-v2,5669
FLUX-WETH 10000 200 UNI-V3 LP,uniswap-v3,132
DBI-WETH 10000 200 UNI-V3 LP,uniswap-v3,1523
sUSD-DHT,uniswap-v2,412
FWOG-WETH 10000 200 UNI-V3 LP,uniswap-v3,326
National Digital Asset Stockpile-WETH,uniswap-v2,2766
MTC-WETH,uniswap-v2,1820
BEAST-WETH 10000 200 UNI-V3 LP,uniswap-v3,2
RYU-WETH,uniswap-v2,37
DogeX-WETH 10000 200 UNI-V3 LP,uniswap-v3,369
SAND-USDC,hashflow-v3,28
WETH-DOGEI 10000 200 UNI-V3 LP,uniswap-v3,105
Pill-WETH,uniswap-v2,162
WETH-GLS,uniswap-v2,218
BUSD-DAI 500 10 UNI-V3 LP,uniswap-v3,113
OM-WETH 3000 60 UNI-V3 LP,uniswap-v3,159
WETH-ZIK,uniswap-v2,551
PAC-WETH 10000 200 UNI-V3 LP,uniswap-v3,148
GPT2-WETH,uniswap-v2,29
MCO-WETH,uniswap-v2,62
LSS-WETH,uniswap-v2,605
BRLL-WETH,uniswap-v2,1943
USDC-BEAN,pancakeswap-v2,37
$CHINU-WETH,uniswap-v2,2
ROBOTAXI-WETH,uniswap-v2,171
REXY-WETH,uniswap-v2,69
DICKIPEDIA-WETH,uniswap-v2,722
SWM-WETH,uniswap-v2,91
RLHF-WETH,uniswap-v2,3
Neiro-Marvin,uniswap-v2,263
WETH-XETH,uniswap-v2,8
BORGOBOT-WETH,uniswap-v2,14
JIAOZI-WETH,uniswap-v2,54
0xb78...585a-WETH,uniswap-v2,98
Kekiusa-WETH,uniswap-v2,13687
NAIx-WETH,uniswap-v2,2212
SDT-WETH,curve,321
0x2ba...b776-WETH,uniswap-v2,7
ASS-WETH,uniswap-v2,932
DEXTF-WETH 3000 60 UNI-V3 LP,uniswap-v3,597
NIBI-WETH,uniswap-v2,4
WETH-DEGOV2,dodo-v2,108
oneFOX-USDC 500 10 UNI-V3 LP,uniswap-v3,24
WETH-EBE,uniswap-v2,71
0x366...7208-WETH,uniswap-v2,74
0xb51...af79-WETH,uniswap-v2,92
0x63f...e60b-WETH,uniswap-v2,7
OPEN-WETH 3000 60 UNI-V3 LP,uniswap-v3,319
WETH-TICS,pancakeswap-v2,53
NEURON-BIO 10000 200 UNI-V3 LP,uniswap-v3,291
JUNO-WETH,uniswap-v2,6614
USUAL-WETH,hashflow-v3,206
80SD-20USDC,balancer,38
CFi-WETH,uniswap-v2,159
GODZ-WETH 3000 60 UNI-V3 LP,uniswap-v3,11
WETH-OAX,dodo-v2,162
EIGEN-LINK,hashflow-v3,19
WOOF-WETH,uniswap-v2,51
SEFA-USDT,uniswap-v2,15
JOY-WETH,uniswap-v2,9
FRGLR-WETH,uniswap-v2,209
0xb52...2c19-WETH,uniswap-v2,462
WETH-PSTAKE,dodo-v2,551
USDT-0xed8...b70e 3000 60  UNI-V4 LP,uniswap-v4,35
ETH-XRT 10000 200  UNI-V4 LP,uniswap-v4,928
WETH-CAN,uniswap-v2,109
GRAIN-FARM 10000 200 UNI-V3 LP,uniswap-v3,238
SEAN-USDT,uniswap-v2,13
ETHhuylezhi-WETH,uniswap-v2,13
ECO-USDT,uniswap-v2,31
SHIBARIUM-WETH 3000 60 UNI-V3 LP,uniswap-v3,49
OGN-WETH 3000 60 UNI-V3 LP,uniswap-v3,2077
TOM3-ai16z 3000 60 UNI-V3 LP,uniswap-v3,168
DRGN-WETH,uniswap-v2,2665
SPELL-MIM,sushiswap,504
WETH-BTRFLY,curve,13
BARY-RINO,uniswap-v2,217
LEND-WETH,sushiswap,741
0x349...cb5c-WETH,uniswap-v2,5
DIAMOND-WETH,uniswap-v2,74
FTM-WETH 3000 60 UNI-V3 LP,uniswap-v3,786
WETH-ZKS,dodo-v2,104
INSP-WETH,uniswap-v2,21
WETH-ONIC,uniswap-v2,109
USDT-ZKS,sushiswap,104
🥝KiwiSwap-WETH,uniswap-v2,102
HER-WETH,uniswap-v2,116
WETH-SPOT,uniswap-v2,24
Mozart-WETH,uniswap-v2,1567
WETH-HEPE,uniswap-v2,16
WETH-NEWWORLD,uniswap-v2,725
DMT-WETH,uniswap-v2,910
khaleesi-WETH,uniswap-v2,3234
TUCKER-WETH,uniswap-v2,1141
BONGO-WETH,uniswap-v2,623
0x8f9...f4ec-WETH,uniswap-v2,6
pDAI-OPM,uniswap-v2,21
SHINCHAN-WETH,uniswap-v2,3
renDOGE-DOGEREUM,uniswap-v2,4
HEDZ -WETH,uniswap-v2,59
DOGETH-WETH,uniswap-v2,1569
GOATAI-WETH,uniswap-v2,8
WETH-TrumpX,uniswap-v2,41
PRE-WETH 10000 200 UNI-V3 LP,uniswap-v3,9
FET-WETH,hashflow-v3,85
SAKURA-WETH,uniswap-v2,264
BTRS-WETH,uniswap-v2,25
WETH-PUGL,uniswap-v2,2
WETH-BUFF,uniswap-v2,22
USDK-OKB,uniswap-v2,254
BROS-WETH,uniswap-v2,63
SABR-WETH 3000 60 UNI-V3 LP,uniswap-v3,58
USDT-REEF,uniswap-v2,269
WETH-0xdb8...cff8,uniswap-v2,57
Kuma-WETH,uniswap-v2,108
0xafd...2a6c-WETH,uniswap-v2,12
0x98f...9a93-WETH,uniswap-v2,122
FXS-WETH 3000 60 UNI-V3 LP,uniswap-v3,189
ETH-PENDLE 3000 60  UNI-V4 LP,uniswap-v4,2407
TRUMPIUS-TrumpBucks 10000 200  UNI-V4 LP,uniswap-v4,278
