POOL_NAME,PLATFORM,COUNT(TX_HASH)
HOUSE-EGGS,uniswap-v2,1
IPPONZURI-WETH,uniswap-v2,2
SOAR-WETH,uniswap-v2,208
BIDENFLATION-WETH,uniswap-v2,1
DST-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
0x26f...3362-WETH,uniswap-v2,5
0xb16...85e3-WETH,uniswap-v2,4
SETS-WETH,uniswap-v2,3
UNI-BTP,uniswap-v2,1
WETH-Belgian Malinois,uniswap-v2,25
ILINK-WETH,uniswap-v2,1
APPLEGPT-WETH,uniswap-v2,3
WETH-HELMET,uniswap-v2,1
CHINU-WETH,uniswap-v2,11
GHAI-WETH,uniswap-v2,202
WETH-BABYMEGA,uniswap-v2,51
Geeks-DeFire,uniswap-v2,10
50UNI-50AAVE,balancer,1
KINGKONG-WETH,uniswap-v2,3
WETH-TESLAAI ,uniswap-v2,1
VATAN-USDT 100 1 UNI-V3 LP,uniswap-v3,9
CRZE-WETH,uniswap-v2,2
WETH-UIP,dodo-v2,3
WETH-$KAOS,uniswap-v2,2
0x44f...969e-WETH,uniswap-v2,8
ETH-PRQ 3000 60  UNI-V4 LP,uniswap-v4,2
LMI-WETH 10000 200 UNI-V3 LP,uniswap-v3,2
WETH-VCT,uniswap-v2,4
BOOTOKEN-WETH,uniswap-v2,29
WETH-GHIBLICOCORO,uniswap-v2,204
FDA-WETH,uniswap-v2,42
WETH-PHIBA,sushiswap,7
0xa18...3a7f-WETH,uniswap-v2,2
WETH-GOVCOIN,uniswap-v2,25
WETH-OCISLE,uniswap-v2,233
BOJO-WETH,uniswap-v2,1
ETH-0xd70...422f 3000 60  UNI-V4 LP,uniswap-v4,2
DMND-WETH,uniswap-v2,3
AVOCADO🥑-WETH,uniswap-v2,6
USDT-ARIA20,uniswap-v2,1
Curve.fi Factory USD Metapool: BAC,curve,5
HERC-WETH,uniswap-v2,6
SPLY-WETH,uniswap-v2,3
WBTC-wstETH 30000 600  UNI-V4 LP,uniswap-v4,5
DAI-PNK,uniswap-v2,5
ETH-OCT 500000 10000  UNI-V4 LP,uniswap-v4,2
ETH-CLV 850000 17000  UNI-V4 LP,uniswap-v4,4
WebrV1-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
TAJP-WETH,uniswap-v2,1
0x77f...27b2-WETH,uniswap-v2,4
CBDGE-WETH,uniswap-v2,1
bPRINT-WETH,uniswap-v2,2
WETH-SMINU,uniswap-v2,1
OS-WETH,sushiswap,2
basedAI-USDC 10000 200 UNI-V3 LP,uniswap-v3,2
0x99b...2129-WETH,uniswap-v2,6
NOHAT-WETH,uniswap-v2,2
DNS-WETH,uniswap-v2,1
0xadc...3a5e-WETH,uniswap-v2,4
0xac9...e71d-WETH,uniswap-v2,4
0x995...3389-WETH,uniswap-v2,1
TRUMPOTUS-WETH,uniswap-v2,2
TTAI-WETH,uniswap-v2,1
WETH-LOVIN,uniswap-v2,1
TEZKI-WETH,uniswap-v2,3
KUZURI-WETH,uniswap-v2,1
WETH-0xfdf...95ce,uniswap-v2,5
Gold-WETH,pancakeswap-v2,59
WETH-HAM 10000 200 UNI-V3 LP,uniswap-v3,11
XRP 2.0-WETH,uniswap-v2,1
ROO-WETH,sushiswap,4
WETH-$ARTHUR,uniswap-v2,1
XTER-WETH 3000 60 UNI-V3 LP,uniswap-v3,2
BZRX-ZRX,uniswap-v2,1
MGX-WETH,uniswap-v2,29
PIS-CRV,uniswap-v2,1
FLORD-WETH,uniswap-v2,1
$Kampos-WETH,uniswap-v2,2
0x3ed...18db-WETH,uniswap-v2,6
$LEVERAGE-WETH,uniswap-v2,13
0x6cd...5eda-WETH,uniswap-v2,4
ETH-OMNIA 899999 18000  UNI-V4 LP,uniswap-v4,2
ETH-WNE 900000 18000  UNI-V4 LP,uniswap-v4,2
WAFFLE-WETH,uniswap-v2,3
PITALIK-WETH,uniswap-v2,2
xSUSHI-UST,sushiswap,1
WETH-0xefb...de49,uniswap-v2,2
wONI-WETH,uniswap-v2,2
EINU-WETH,uniswap-v2,536
MCI-USDT,uniswap-v2,2
0xa9a...a3bc-WETH,uniswap-v2,1
WETH-Onigiri,uniswap-v2,18
GHST-DAI 10000 200 UNI-V3 LP,uniswap-v3,1
WETH-test 10000 200 UNI-V3 LP,uniswap-v3,3
0x2d9...a8bd-WETH,uniswap-v2,4
GOYIM-WETH,uniswap-v2,1
ETH-GROK4 3000 60  UNI-V4 LP,uniswap-v4,6
89SA-WETH,sushiswap,1
DAI-BTCBR,sushiswap,7
ROOM-WETH,sushiswap,5
GINKUN-WETH,uniswap-v2,3
GRENDIZER-WETH,uniswap-v2,1
COSMO-USDT,uniswap-v2,1
MEME47-WETH,uniswap-v2,2
CREEPE-WETH,uniswap-v2,1
$PEPEr-WETH,uniswap-v2,1
hiPUNKS-WETH,uniswap-v2,1
WUSHU-WETH,uniswap-v2,1
OKI-WETH,uniswap-v2,2
SAFEC-WETH,uniswap-v2,3
president-WETH,uniswap-v2,411
NETW0RK-WETH,uniswap-v2,1
WETH-$GLSWAP,uniswap-v2,7
GROKL-WETH,uniswap-v2,2
0x9ef...de18-WETH,uniswap-v2,7
ORDINALGROK-WETH,uniswap-v2,2
LOLOJ-WETH,uniswap-v2,20
ITRUMP-WETH,uniswap-v2,2
JANKA-USDC 10000 200 UNI-V3 LP,uniswap-v3,1
PFPAsia-WETH 3000 60 UNI-V3 LP,uniswap-v3,2
WETH-ShibMIXer,uniswap-v2,1
DOGE19-WETH,uniswap-v2,1
WETH-$BPOG,uniswap-v2,1
0x83c...4234-WETH,uniswap-v2,3
WETH-🚀WEN,uniswap-v2,5
0x1c4...de23-WETH,uniswap-v2,2
QFIL-WETH,uniswap-v2,2
NAGA-WETH,uniswap-v2,4
WETH-0x5fa...9875,dodo-v2,2
0x7ca...27a9-WETH,uniswap-v2,7
GREEK-WETH,uniswap-v2,4
AMG-WETH,uniswap-v2,5
rfism-WETH,uniswap-v2,1
WETH-WHALE,woofi,1
WETH-SPORK,uniswap-v2,21
DXN-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
$CryptoVP-WETH,uniswap-v2,1
0x0c2...f2ba-WETH,pancakeswap-v2,1
WETH-FAIL,uniswap-v2,2
LUXO-USDT 3000 60 UNI-V3 LP,uniswap-v3,1
ETH-0xb8c...1e31 100000 2000  UNI-V4 LP,uniswap-v4,1
ETH-GGMT 900000 18000  UNI-V4 LP,uniswap-v4,1
1Grok-WETH,uniswap-v2,2
$banger-WETH,uniswap-v2,2
TNSR-WETH,uniswap-v2,4
USDC-CNDL,uniswap-v2,1
WETH-0xc96...10b4,uniswap-v2,2
SATURN-WETH 10000 200 UNI-V3 LP,uniswap-v3,1
IAMGROK-WETH,uniswap-v2,1
SVP-WETH,uniswap-v2,2
OSBOT-WETH,uniswap-v2,2
WETH-SHIBACAP,uniswap-v2,1
冰淇淋-WETH,uniswap-v2,4
ETH-0xe64...e18f 3000 60  UNI-V4 LP,uniswap-v4,1
JUSDT-USDT 100 1  UNI-V4 LP,uniswap-v4,1
BMP-USDT 200000 4000  UNI-V4 LP,uniswap-v4,1
0x66d...2f38-WETH,uniswap-v2,1
CTX-WETH 10000 200 UNI-V3 LP,uniswap-v3,5
OPOB-WETH,uniswap-v2,2
伏藏龙-WETH,uniswap-v2,1
ETH-WBLK 10000 200  UNI-V4 LP,uniswap-v4,5
SUICINU-WETH,uniswap-v2,2
WETH-Tete,uniswap-v2,1
LIVERPOOL-WETH,uniswap-v2,59
Babbage's-WETH,uniswap-v2,2
WETH-AINDEX,uniswap-v2,159
WETH-swastika,uniswap-v2,7
0x1bf...e75c-WETH,uniswap-v2,7
RELX-WETH,uniswap-v2,2
0x295...8c58-WETH,uniswap-v2,4
DUM-WETH,uniswap-v2,3
USR-USDT 3000 60  UNI-V4 LP,uniswap-v4,5
WETH-0xf56...ff4e,uniswap-v2,1
WETH-0xccf...7109,uniswap-v2,2
VİRTUAL -WETH 3000 60 UNI-V3 LP,uniswap-v3,3
0xbcd...58e5-WETH,uniswap-v2,1
0xb36...0c00-WETH,uniswap-v2,5
R5+-WETH,uniswap-v2,1
0xa1e...a4cd-WETH,uniswap-v2,3
WETH-TJ,uniswap-v2,4
0x7f7...6d69-WETH,uniswap-v2,1
POKEE-WETH,uniswap-v2,1
USDP-DUCK,curve,1
WETH-PLUR,sushiswap,2
SHIBLUR-WETH,uniswap-v2,1
MTK-USDT 3000 60  UNI-V4 LP,uniswap-v4,3
WETH-POE,uniswap-v2,1
WETH-HOLD,uniswap-v2,2
WETH-Pussy,uniswap-v2,1
LCM-DAI,uniswap-v2,1
GZN-WETH,uniswap-v2,2
LUMP-WETH,uniswap-v2,1
XFRIEND-WETH,uniswap-v2,1
PCC-WETH,uniswap-v2,1
PERAGON-WETH,uniswap-v2,2
WETH-Paul0x,uniswap-v2,1
EP-WETH,uniswap-v2,1
WETH-0xd35...6aa5,uniswap-v2,1
SAMURAI-WETH,uniswap-v2,1
oneVBTC-WETH,sushiswap,1
WETH-CTR,uniswap-v2,2
WETH-WALKER,uniswap-v2,4
$FDD-WETH,uniswap-v2,2
OKay-WETH,uniswap-v2,2
INVI-WETH,uniswap-v2,2
WETH-NOIA,uniswap-v2,1
PLUMPY-WETH,uniswap-v2,1
WETH-0xd69...cbe0,uniswap-v2,1
WETH-0xf2c...648f,uniswap-v2,1
PEPEWHIT-WETH,uniswap-v2,18
WETH-PABLO,uniswap-v2,2
0xb8a...19b4-WETH,uniswap-v2,1
WETH-0xf6a...98b7,uniswap-v2,6
WETH-0xffd...f617,uniswap-v2,2
0x975...58de-WETH,uniswap-v2,1
PTW-WETH,uniswap-v2,1
LOE-WETH,uniswap-v2,1
WETH-0xd7b...8050,uniswap-v2,1
GLT-USDT 10000 200  UNI-V4 LP,uniswap-v4,4
0x916...20b0-WETH,uniswap-v2,3
REYA-WETH,uniswap-v2,1
USDC-mBASIS,dodo-v2,1
BTCG-WETH,uniswap-v2,1
IDIOT-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
TAMPON-WETH,uniswap-v2,1
NTAO-WETH,uniswap-v2,4
ETH-ADRIAN 10000 200  UNI-V4 LP,uniswap-v4,6
GOTAMA-WETH,uniswap-v2,1
QEPE-WETH,uniswap-v2,1
KANYEWEST-WETH,uniswap-v2,5
SushiSwap Synthetix-WETH,uniswap-v2,1
SAND-WETH,hashflow-v3,1
RICHU-WETH,uniswap-v2,1
DAI-USDC 55 1  UNI-V4 LP,uniswap-v4,6
0x759...e704-WETH,uniswap-v2,5
BUTTER -USDT,uniswap-v2,13
APECOW-WETH,uniswap-v2,1
KONOKO-WETH,uniswap-v2,1
RAI-WETH,sushiswap,1
WBTC-USDT 88 2  UNI-V4 LP,uniswap-v4,2
ymcm271828-WETH,uniswap-v2,37
Visegrad24-WETH,uniswap-v2,536
WETH-Honk,uniswap-v2,22
AMY-WETH,uniswap-v2,289
GambleFi-WETH,uniswap-v2,18
CZDOG-WETH,uniswap-v2,521
WETH-GAMIFY,uniswap-v2,3
CUBE-WETH,uniswap-v2,9
WETH-0xff7...a0a0,uniswap-v2,4
0x8b1...6860-WETH,uniswap-v2,5
WETH-DOGE-X,uniswap-v2,4
0x402...c6f3-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
WETH-AI³,uniswap-v2,3
WETH-ssTRUMP,uniswap-v2,2
NORD-WETH 10000 200 UNI-V3 LP,uniswap-v3,4
WETH-0xdab...7755,uniswap-v2,2
amphrETH-WETH 10000 200 UNI-V3 LP,uniswap-v3,3
0x87f...3137-WETH,uniswap-v2,4
WETH-ESPL,sushiswap,1
WETH-PETARD,uniswap-v2,5
DPAI-USDT 10000 200 UNI-V3 LP,uniswap-v3,2
WETH-BITWOJAK,uniswap-v2,1
DB-WETH 10000 200 UNI-V3 LP,uniswap-v3,9
metalmask-WETH,uniswap-v2,99
GCR-WETH,dodo-v2,3
Nox-WETH,uniswap-v2,16
0x30d...02d3-WETH,uniswap-v2,5
WETH-0xee9...a2be,uniswap-v2,6
0x749...d26e-WETH,uniswap-v2,2
WETH-CBC,uniswap-v2,1
MDKE-WETH 10000 200 UNI-V3 LP,uniswap-v3,5
ETH-RLB 1750 35  UNI-V4 LP,uniswap-v4,3
WBTC-0xb2e...31ef,uniswap-v2,1
SOLIDPEPE-WETH,uniswap-v2,11
WETH-0xff9...d25a,uniswap-v2,3
WETH-MONO,uniswap-v2,130
DAO-USDT,uniswap-v2,1
fUSDT-USDC 500000 10000  UNI-V4 LP,uniswap-v4,1
CPOOL-USDC,woofi,2
PUPEI-WETH,uniswap-v2,2
0xa30...b942-WETH,uniswap-v2,2
ETH-stHYPER 850000 17000  UNI-V4 LP,uniswap-v4,11
SUPEPE-WETH,uniswap-v2,1
DOWNLON-WETH,uniswap-v2,181
$BUIO -WETH,uniswap-v2,1
mbBASED-WETH,uniswap-v2,1
0x5fb...4ba3-WETH,uniswap-v2,1
MONALISA-WETH,uniswap-v2,1
WAC-USDT,uniswap-v2,3
ETHERDOG-WETH 10000 200 UNI-V3 LP,uniswap-v3,2
WETH-0xcb7...b4dd,uniswap-v2,5
USDT-USDT 34999 700  UNI-V4 LP,uniswap-v4,2
VERTAI-WETH,uniswap-v2,4
PEEPEE-WETH 10000 200 UNI-V3 LP,uniswap-v3,2
BABYKEK-WETH,uniswap-v2,1
ETH-0xe8b...f791 3000 60  UNI-V4 LP,uniswap-v4,3
PEKTALIK-WETH 10000 200 UNI-V3 LP,uniswap-v3,6
KAIDO-WETH,uniswap-v2,1
ISO-WETH 10000 200 UNI-V3 LP,uniswap-v3,1
WETH-D.O.D.E,uniswap-v2,28
0xaf9...1e8d-WETH,uniswap-v2,4
JSHIBA-DOGEN,uniswap-v2,4
0x921...4e81-WETH,uniswap-v2,4
CATA-WETH,uniswap-v2,1
WETH-UBD 100 1 UNI-V3 LP,uniswap-v3,7
WETH-YERTLE,uniswap-v2,2
VGPU-WETH 3000 60 UNI-V3 LP,uniswap-v3,16
SCRYPT-WETH,uniswap-v2,20
Solana Dima-WETH,uniswap-v2,15
FLPA-WETH,uniswap-v2,1
0x825...7a19-WETH,uniswap-v2,1
BASIC-WETH,uniswap-v2,38
STARL-SHIB,shibaswap,1
0x8de...0623-WETH,uniswap-v2,1
WETH-BOOSTC,uniswap-v2,1
O'PEPE-WETH,uniswap-v2,1
VJALL-WETH,uniswap-v2,164
WETH-CHA,uniswap-v2,2
ERP-USDC,uniswap-v2,2
ETH-KOMUGI 3000 60  UNI-V4 LP,uniswap-v4,16
0x625...a38f-WETH,uniswap-v2,8
PKT-WETH,dodo-v2,5
YFIIS-WETH,uniswap-v2,1
WETH-ZHOU,uniswap-v2,15
TWAN-WETH,uniswap-v2,2
CUPRA-WETH,uniswap-v2,5
USDC-Tcatwifhat,uniswap-v2,1
SQUID0.5-WETH,uniswap-v2,2
FudLight-WETH,uniswap-v2,3
ETH-0xec1...d8b0 10000 200  UNI-V4 LP,uniswap-v4,2
WETH-0xd51...ebd4,uniswap-v2,1
USDC-FIEF 10000 200 UNI-V3 LP,uniswap-v3,1
VOLTS-LINK,uniswap-v2,1
0x0c8...eeb1-WETH,uniswap-v2,5
ADIDAS-WETH,sushiswap,1
BANK-DAI 10000 200 UNI-V3 LP,uniswap-v3,1
WETH-0xe73...2385,uniswap-v2,4
JOAN-WETH,uniswap-v2,1
0x44c...773a-WETH,uniswap-v2,1
WETH-LFGDOGETOTHEMOON,uniswap-v2,1
WETH-$50,uniswap-v2,1
BTCGF-WETH,uniswap-v2,1
VOSTOK-WETH,uniswap-v2,5
SHILP-WETH,uniswap-v2,1
ETH-THN 900000 18000  UNI-V4 LP,uniswap-v4,1
Ethereum is for meme-WETH,uniswap-v2,2
USDT-USDT 100 1 PCS-V3 LP,pancakeswap-v3,8
0x08d...b982-WETH,uniswap-v2,1
👨‍👨‍👧‍👧TrumpFamily-WETH,uniswap-v2,1
TRISTAN-WETH,uniswap-v2,3
AI MENTOR-WETH 10000 200 UNI-V3 LP,uniswap-v3,1
STN-WETH,uniswap-v2,2
SKRUFF-WETH,uniswap-v2,2
pacman-WETH,uniswap-v2,1
CLINJA-WETH,uniswap-v2,1
HXRO-WETH,sushiswap,1
0x48f...a840-WETH,uniswap-v2,1
USDC-AJC,uniswap-v2,1
ISCAI-WETH,uniswap-v2,2
testv1-WETH 10000 200 UNI-V3 LP,uniswap-v3,1
AMBI-TURNER-WETH,uniswap-v2,1
ETH-MXNA 700000 14000  UNI-V4 LP,uniswap-v4,1
0x65a...603d-WETH,uniswap-v2,4
WBTC-renBTC 500 10 UNI-V3 LP,uniswap-v3,1
0x601...750e-WETH,uniswap-v2,1
ETHMNY-WETH,kyberswap-v1,1
WETH-PIX,uniswap-v2,2
WETH-ANAC0NDA,uniswap-v2,3
TsukaC-WETH,uniswap-v2,1
USDC-PIKA,uniswap-v2,1
USDC-OASIS,uniswap-v2,6
WETH-NUNU,uniswap-v2,2
JTC-USDT 3000 60 UNI-V3 LP,uniswap-v3,2
WETH-FurieRATO,uniswap-v2,8
PICKLE-ISLA,uniswap-v2,2
0x9cc...8abe-WETH,uniswap-v2,6
WETH-0xf84...c5ba,uniswap-v2,2
migo-WETH,uniswap-v2,2
SXai-WETH,uniswap-v2,1
xDuck-WETH,uniswap-v2,1
$DKS-WETH,uniswap-v2,1
WETH-APECOIN,uniswap-v2,2
LFG-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
GDOGE🐾-WETH,uniswap-v2,1
0XE-WETH,uniswap-v2,1
FEDORA-WETH,uniswap-v2,1
WETH-TFS,uniswap-v2,1
ETH-CUM 3000 60  UNI-V4 LP,uniswap-v4,1
MTC-MON 3000 60 UNI-V3 LP,uniswap-v3,2
ARX-WETH 10000 200 UNI-V3 LP,uniswap-v3,1
WETH-ETHeR,uniswap-v2,37
WETH-0xc43...77f3,uniswap-v2,13
WETH-PROTECTOR,uniswap-v2,2
COBLEE-WETH,uniswap-v2,1
ALEXANDER-USDT,uniswap-v2,1
WETH-0xca9...2b29,uniswap-v2,2
INCOME-WETH,uniswap-v2,2
BVS-WETH,uniswap-v2,2
0x5ce...963b-WETH,uniswap-v2,1
WETH-BURGER,uniswap-v2,1
TKN-crvUSD 3000 60 UNI-V3 LP,uniswap-v3,2
WETH-SHOB,uniswap-v2,2
NinjaRun-WETH,uniswap-v2,1
GRO-USDT 3000 60  UNI-V4 LP,uniswap-v4,3
gp-WETH 10000 200 UNI-V3 LP,uniswap-v3,1
WETH-GHOST1,uniswap-v2,1
ETH-NUT 10000 200  UNI-V4 LP,uniswap-v4,2
RIDE-WETH,uniswap-v2,1
0x003...5359-WETH,uniswap-v2,1
0x55d...1ce0-WETH,uniswap-v2,5
ASIC-WETH,uniswap-v2,1
WETH-SHIB1.0,uniswap-v2,1
WETH-BLOOM 3000 60 UNI-V3 LP,uniswap-v3,1
WETH-STIRLITZ,uniswap-v2,1
GOATDUMP-WETH,uniswap-v2,9
Jockey-WETH,uniswap-v2,61
🐸PEPEX-WETH,uniswap-v2,7
President-WETH,uniswap-v2,31
WETH-Killnet,uniswap-v2,2
WETH-AUTOSNIPE,uniswap-v2,2
roar-TrumpBucks 10000 200 UNI-V3 LP,uniswap-v3,3
VIGICIAN-WETH,uniswap-v2,1
AIT-WETH 3000 60 UNI-V3 LP,uniswap-v3,1
ETH-Naughtius Maximus 100 1  UNI-V4 LP,uniswap-v4,1
WETH-WUK,uniswap-v2,2
WETH-ChatPTG,uniswap-v2,4
ETH-NBITS 100 1  UNI-V4 LP,uniswap-v4,1
grokai-WETH,uniswap-v2,1
WETH-ewEth 3000 60 UNI-V3 LP,uniswap-v3,1
FOR-USDT,sushiswap,1
SHHH-WETH,uniswap-v2,1
WETH-0xea8...e915,uniswap-v2,2
PICKLE-YEET,uniswap-v2,2
ETHERLORD-WETH,uniswap-v2,29
MILF-WETH 10000 200 UNI-V3 LP,uniswap-v3,1
$SOUL-WETH,uniswap-v2,1
SOJ-ODIN,uniswap-v2,2
👱🏽DONALDPUMP-WETH,uniswap-v2,10
0x5a9...4140-WETH,uniswap-v2,4
0x4ce...9cf5-WETH,uniswap-v2,2
WETH-0xdd2...3f87,uniswap-v2,5
RAI-USDC,curve,1
BHANGE-WETH,uniswap-v2,2
MUTE-WETH 10000 200 UNI-V3 LP,uniswap-v3,3
WETH-CRYPTONIA20,uniswap-v2,3
SUSHI-CHAMP 3000 60 UNI-V3 LP,uniswap-v3,2
MAGATEE-WETH,uniswap-v2,2
SCHMIDHUBER-WETH,uniswap-v2,7
WETH-ACTIONS,uniswap-v2,1
DOGEN-HACHIKO,uniswap-v2,3
WLK-WETH,uniswap-v2,2
PEPRO-WETH,uniswap-v2,2
NUCLEUSAI-WETH,uniswap-v2,36
RVR-WETH,uniswap-v2,4
0x01e...dc5f-WETH,uniswap-v2,4
DAI-USDT 65 1  UNI-V4 LP,uniswap-v4,33
SUSPANTS-WETH 10000 200 UNI-V3 LP,uniswap-v3,1
ETH-LUSD 100 1  UNI-V4 LP,uniswap-v4,4
0x12a...e8c1-WETH,uniswap-v2,1
FRUIT-WETH,uniswap-v2,5
HEXULTRA-WETH,uniswap-v2,3
FORT-TITANX 10000 200 UNI-V3 LP,uniswap-v3,2
FALCON9-WETH,uniswap-v2,6
WETH-Machine,uniswap-v2,1
FOA-WETH 10000 200 UNI-V3 LP,uniswap-v3,3
WETH-HO,uniswap-v2,16
Sil-WETH,uniswap-v2,1
WETH-Eliza,uniswap-v2,2
BDP-WETH,dodo-v2,1
WETH-FADE,uniswap-v2,1
Trumpites-WETH,uniswap-v2,5
INUNOMICS-WETH,uniswap-v2,4
PSYDUCK-WETH,uniswap-v2,1
0x66a...7e26-WETH,uniswap-v2,5
DETH-WETH,uniswap-v2,1
SHOG-WETH,uniswap-v2,2
WETH-MOYIN,uniswap-v2,1
WETH-Kekius 3000 60 UNI-V3 LP,uniswap-v3,2
Fozzie-WETH 10000 200 UNI-V3 LP,uniswap-v3,33
WETH-0xd69...7b38,uniswap-v2,6
ELONTOSHI-WETH,uniswap-v2,3
LINGO-WETH,uniswap-v2,3
BFLOKI-WETH,uniswap-v2,2
LMT-WETH,uniswap-v2,110
$DEION-WETH,uniswap-v2,3
DR-A,uniswap-v2,5
OsmiumERC-WETH,uniswap-v2,4
UNB-WETH,dodo-v2,4
WOOFSTER-WETH,uniswap-v2,2
pBEAN-pOHM,uniswap-v2,1
$Molly-WETH,uniswap-v2,1
0x1ef...1353-WETH,uniswap-v2,1
ETH-0x478...fb4f 3000 60  UNI-V4 LP,uniswap-v4,1
ETH-USDC 200 4  UNI-V4 LP,uniswap-v4,22
WBTC-BITEY,sushiswap,2
KPLR-WETH,uniswap-v2,1
WETH-XP,uniswap-v2,1
WETH-INIT,sushiswap,7
ETH-DREAM 900000 18000  UNI-V4 LP,uniswap-v4,1
0x3da...344c-WETH,uniswap-v2,1
WETH-Files,uniswap-v2,25
WETH-JJAI,uniswap-v2,94
TOMA-WETH,uniswap-v2,2
WRN-WETH 10000 200 UNI-V3 LP,uniswap-v3,2
0x8ae...95a9-WETH,uniswap-v2,1
USD.T-USDT 3000 60  UNI-V4 LP,uniswap-v4,3
WETH-POPETRUMP,uniswap-v2,627
$WBTC-WETH,uniswap-v2,1
WETH-Bitcoin Cash,uniswap-v2,5
Yakuza-WETH,uniswap-v2,6
WETH-GANA,uniswap-v2,11
0x919...e09e-WETH,pancakeswap-v2,1
0x2a0...6543-WETH,uniswap-v2,2
SUPER FRENS-WETH,uniswap-v2,1
WETH-Privatize,uniswap-v2,4
R5-WETH 3000 60 UNI-V3 LP,uniswap-v3,8
PEPE-RIBBIT 10000 200 UNI-V3 LP,uniswap-v3,15
WETH-DMI,uniswap-v2,2
TARD-WETH,uniswap-v2,1
XMEDIA-WETH,uniswap-v2,38
WETH-EAS,uniswap-v2,2
NLC-USDT 3000 60 UNI-V3 LP,uniswap-v3,2
0x9c5...d413-WETH,uniswap-v2,3
0x736...5990-WETH,uniswap-v2,2
ADOPT-WETH,uniswap-v2,1
0x193...dd75-WETH,uniswap-v2,3
0x54b...0dac-WETH,uniswap-v2,1
WETH-WAGML,sushiswap,1
WETH-NINES,uniswap-v2,5
BabyTsuka-WETH,uniswap-v2,1
wCRES-USDT,uniswap-v2,1
ROCKETOBER-WETH,uniswap-v2,1
0x6b7...c9e8-WETH,uniswap-v2,7
0x0f7...4fd3-WETH,uniswap-v2,4
UNI-V2-ERC223,dodo-v2,1
AIMEW-WETH,uniswap-v2,1
USDC-USDT 7 1  UNI-V4 LP,uniswap-v4,2
WETH-DAI,uniswap-v2,4
$RICARDO-WETH,uniswap-v2,1
USAPEPE-WETH,uniswap-v2,6
ETH-NoToken 100 1  UNI-V4 LP,uniswap-v4,1
MXM-WETH 10000 200 UNI-V3 LP,uniswap-v3,10
I9C-WETH,pancakeswap-v2,2
AMINO-WETH 100 1 UNI-V3 LP,uniswap-v3,4
HPL-WETH,uniswap-v2,2
WETH-GRUMPY,uniswap-v2,13
ETH-CSR 10000 200  UNI-V4 LP,uniswap-v4,14
PROJX-WETH,uniswap-v2,2
END-WETH,uniswap-v2,1
WAA-PEPE 10000 200 UNI-V3 LP,uniswap-v3,8
ETH-HLZ 10000 200  UNI-V4 LP,uniswap-v4,212
ETH-0xda7...7619 10000 200  UNI-V4 LP,uniswap-v4,3
0x6a6...ef16-0x999...3945 3000 60  UNI-V4 LP,uniswap-v4,1
WETH-0xc77...2f9b,uniswap-v2,18
PILL-WETH,uniswap-v2,3
DOGE0.5-WETH,uniswap-v2,1
0x430...3db3-WETH,uniswap-v2,1
WETH-币coin,uniswap-v2,2
WETH-Romulus,uniswap-v2,6
sDI-USDT 100 1 UNI-V3 LP,uniswap-v3,2
WETH-ZE,uniswap-v2,1
McToken-WETH,uniswap-v2,11
USDC-POP,uniswap-v2,1
EMC2-WETH,uniswap-v2,1
BEN2.0-WETH,uniswap-v2,2
0xb85...b453-WETH,uniswap-v2,1
STARS-WETH 100 1 UNI-V3 LP,uniswap-v3,2
EVRBRN-WETH,uniswap-v2,1
WETH-BUNNYROCKET,uniswap-v2,2
$LADYS2.0-WETH,uniswap-v2,6
0x75a...ccdf-WETH,uniswap-v2,6
0x60a...d57b-WETH,uniswap-v2,20
WETH-0xde4...f16d,uniswap-v2,2
WETH-侘寂,uniswap-v2,1
WETH-aBLOCK,uniswap-v2,5
$BOOK6900-WETH,uniswap-v2,3
WETH-XCHART,uniswap-v2,2
0x58a...1767-WETH,uniswap-v2,2
idleDAIYield-USDT,uniswap-v2,1
BTUBE-WETH,uniswap-v2,4
USDC-sUSDS,dodo-v2,1
WETH-Reaper🌶️,uniswap-v2,4
0x79e...b772-WETH,uniswap-v2,1
0x200...7b07-WETH,uniswap-v2,5
0xa4a...2ac4-WETH,uniswap-v2,4
Bee-WETH,uniswap-v2,1
USDZ-ZEDXION,pancakeswap-v2,1
RETHE-WETH 500 10 UNI-V3 LP,uniswap-v3,3
0x9e3...07be-WETH,uniswap-v2,1
JUST DOGE IT-WETH,uniswap-v2,15
LADYSC-WETH,uniswap-v2,1
0x5a1...6ed9-WETH,uniswap-v2,1
WETH-MODEL Y,uniswap-v2,7
WETH-AIYANA,uniswap-v2,40
WETH-$TRUMP,uniswap-v2,51
⭐️STARAI-WETH,uniswap-v2,6
0x243...cac9-WETH,uniswap-v2,1
WETH-FRF,uniswap-v2,24
DID-WETH,sushiswap,1
HONKO-WETH,uniswap-v2,1
ETHCTO-WETH,uniswap-v2,66
RUBIN-WETH,uniswap-v2,1
WETH-0xeba...64f7,uniswap-v2,1
WETH-IBOX,uniswap-v2,1
0x56b...23f3-WETH,uniswap-v2,2
Yfic-WETH,sushiswap,1
WBTC-AMPL 3000 60 UNI-V3 LP,uniswap-v3,1
