DATE,HOUR,POOL,SWAP_COUNT,TOTAL_VOLUME_USD,MIN_DEPTH_USD,AVG_SLIPPAGE,MAX_SLIPPAGE,MAX_PRICE,MIN_PRICE,AVG_PRICE
2025-04-04 21:47:47.000,2025-04-04 21:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,2113.94,2113.94,0.0151,0.0151,0.9998486354,0.9998486354,0.9998486354
2025-04-04 19:39:59.000,2025-04-04 19:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,2251.89,2251.89,0.0027,0.0027,0.9999733561,0.9999733561,0.9999733561
2025-04-04 22:41:11.000,2025-04-04 22:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,217898.18,217898.18,0.0038,0.0038,0.9999616342,0.9999616342,0.9999616342
2025-04-04 05:52:59.000,2025-04-04 05:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,2,3317.23,699.93,0.0022,0.0029,1.000028575,1.000015283,1.000021929
2025-04-04 22:37:59.000,2025-04-04 22:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,4391.47,4391.47,0.0168,0.0168,0.9998315057,0.9998315057,0.9998315057
2025-04-01 14:39:59.000,2025-04-01 14:00:00.000,Curve.fi Pool: DAI-USDC-USDT-sUSD,1,828.81,828.81,0.1618,0.1618,1.001618084,1.001618084,1.001618084
2025-04-01 15:37:35.000,2025-04-01 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,3407.73,3407.73,0.0029,0.0029,0.9999706554,0.9999706554,0.9999706554
2025-04-01 13:58:47.000,2025-04-01 13:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,1999.13,1999.13,0.001,0.001,0.9999899957,0.9999899957,0.9999899957
2025-04-01 14:54:35.000,2025-04-01 14:00:00.000,USDC-USDT,1,1368.29,1368.29,0.0307,0.0307,0.9996930946,0.9996930946,0.9996930946
2025-04-01 14:23:23.000,2025-04-01 14:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,3,4908.61,973.4,0.02,0.0205,0.999803745,0.9997945557,0.9997995292
2025-04-01 15:10:47.000,2025-04-01 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,2039.8,2039.8,0.0059,0.0059,1.000058831,1.000058831,1.000058831
2025-04-01 12:44:23.000,2025-04-01 12:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,2648.01,2648.01,0.0008,0.0008,1.000007553,1.000007553,1.000007553
2025-04-01 11:31:11.000,2025-04-01 11:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,2051.37,2051.37,0.0166,0.0166,0.9998342708,0.9998342708,0.9998342708
2025-04-01 10:59:47.000,2025-04-01 10:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,20170.04,20170.04,0.0182,0.0182,0.9998175678,0.9998175678,0.9998175678
2025-04-01 10:34:35.000,2025-04-01 10:00:00.000,DAI-USDC-USDT,1,608.05,608.05,0.0164,0.0164,0.9998355534,0.9998355534,0.9998355534
