blockchain,dex,pool,pool_id,date,Spread,swap_count,volume,order_size,pool_type
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-28 0:00,0.6192,27,3461439.874,64088.79004,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-11 0:00,0.0101,12,3442172.383,143430.7735,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-22 0:00,0.0676,15,3346045.45,111574.1708,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-05-25 0:00,0.0679,26,3332600.745,64094.23781,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-24 0:00,0.0677,19,3330086.596,87621.8038,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-03 0:00,0.0103,20,3268371.903,81713.04919,Stable Pair
ethereum,curve,LUSD-USDC,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,2023-05-17 0:00,0.6267,11,3159121.739,143121.5087,Stable Pair
ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-07 0:00,0.0771,28,3149966.104,56264.12788,Stable Pair
ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-06-06 0:00,1.7765,21,3111776.956,73924.45757,Stable Pair
ethereum,curve,crvUSD-USDP,0xca978a0528116dda3cba9acd3e68bc6191ca53d0,2023-06-12 0:00,0.0491,12,2972714.194,123883.4054,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-07 0:00,0.0082,20,2839212.276,70983.43524,Stable Pair
ethereum,curve,DAI-USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-16 0:00,0.0106,32,2825310.755,44147.75838,Stable Pair
